text,label
"the gray , medium - sized , rectangular building",1
"the brown , large building",1
tall structures,1
multiple rows,0
", tall building",1
grid - like window patterns,0
many windows,0
another large building,1
its light gray color,0
balcony - like structures,1
"a tall , multi - story skyscraper",1
"large , beige windows",0
arched tops,0
a cityscape,1
large gray modern high - rise buildings,1
Gradually veer,0
a small beige rectangular accessory,0
a handle,0
a building,1
a slight right adjustment,0
a gray skyscraper,1
its height,0
a tall gray and white building,1
numerous windows,0
a medium - sized gray structure,1
modern architectural design,0
a tall gray building,1
an affixed crane structure,1
the large grey building,1
its multi,0
modern architecture,0
the medium - sized light gray modern building,1
its flat roof,1
stone tiles,0
the beige tall building,1
grid windows,0
a large high - rise office,0
beige office building,1
rectangular windows,0
a brick and concrete exterior,1
the gray and red brick building,1
uniform rectangular windows,0
red brick and gray concrete panels,0
a medium,0
large high - rise commercial or residential structure,1
a large light gray rectangular building,1
numerous horizontal window lines,0
"Then , slightly veer",0
the left,0
a medium,0
large beige office building,1
glass windows,0
horizontal lines,0
a large white skyscraper,1
its rectangular design,0
vertical black windows,0
"a tall , narrow modern high - rise building",1
a dark appearance,0
reflective glass panels,0
vertical black glossy surfaces,1
the frame,0
a large gray building,1
rectangular windows,0
a medium - sized commercial building,1
beige and black color,0
vertical black sections,0
the middle,0
a large modern skyscraper facade,1
a grid - like window pattern,0
the enormous gray skyscraper,1
a grid - like window pattern,0
the large red brick building,1
its multi -story rectangular structure,1
the large beige skyscraper,1
its tall shape,0
vertical windows,0
the sizable grey office building,1
rectangular windows,0
a grid pattern,0
the medium gray commercial building,1
a flat roof,1
rooftop structures,1
"a large , beige office building",1
rectangular windows,0
repetitive vertical and horizontal patterns,0
"a large , gray urban skyscraper",1
distinct rectangular balconies,0
a medium - to - large building,1
a white and dark brown color scheme,0
a grid - patterned facade,1
horizontal slats,0
"a medium - height , modern structure",1
dark accents,0
a rectangular grid - like facade,1
textured tiles,0
horizontal dark slats,0
uniform sections,0
either a modern office or residential building,1
the beige building,1
large rectangular windows,0
the light grey,0
brown medium height apartment building,1
a rectangular shape,0
multiple windows,0
the white skyscraper,1
its tall stature,0
the largest building,1
the right,0
the grey rectangular building,1
a flat rooftop,1
the gray tall rectangular office building,1
horizontal and vertical window segments,0
straight and slightly veer,0
a modern facade,1
large reflective windows,0
concrete panels,0
your way,0
the cream structure,1
a blue rooftop,1
a stepped design,0
a glassy dome,0
This building,1
